question_id,feature_variable_code
Q201,N_REGION_ISO
Q201,Q200
Q201,Q202
Q201,Q203
Q201,Q204
Q201,Q205
Q201,Q206
Q201,Q208
Q201,Q211
Q201,Q213
Q201,Q216
Q201,Q217
Q201,Q220
Q201,Q221
Q201,Q223
Q201,Q266
Q201,Q267
Q201,Q268
Q201,Q272
Q201,Q289CS9
Q201,Q290
Q201,Q4
Q201,Q66
Q201,Q95
Q73,N_REGION_ISO
Q73,Q66
Q73,Q67
Q73,Q68
Q73,Q69
Q73,Q70
Q73,Q71
Q73,Q72
Q73,Q74
Q73,Q75
Q73,Q76
Q73,Q77
Q73,Q78
Q73,Q79
Q73,Q82
Q73,Q85
Q227,N_REGION_ISO
Q227,Q113
Q227,Q137
Q227,Q165
Q227,Q223
Q227,Q224
Q227,Q225
Q227,Q226
Q227,Q228
Q227,Q229
Q227,Q230
Q227,Q231
Q227,Q232
Q227,Q233
Q227,Q253
Q227,Q266
Q227,Q267
Q227,Q268
Q227,Q272
Q227,Q290
Q227,Q70
Q227,Q76
Q209,N_REGION_ISO
Q209,Q20
Q209,Q200
Q209,Q206
Q209,Q210
Q209,Q211
Q209,Q212
Q209,Q213
Q209,Q214
Q209,Q215
Q209,Q216
Q209,Q217
Q209,Q218
Q209,Q219
Q209,Q220
Q209,Q223
Q209,Q266
Q209,Q272
Q209,Q290
Q209,Q41
Q209,Q57
Q33,N_REGION_ISO
Q33,Q169
Q33,Q20
Q33,Q223
Q33,Q25
Q33,Q266
Q33,Q267
Q33,Q268
Q33,Q27
Q33,Q272
Q33,Q28
Q33,Q289CS9
Q33,Q29
Q33,Q290
Q33,Q30
Q33,Q31
Q33,Q32
Q33,Q35
Q33,Q37
Q33,Q38
Q33,Q39
Q33,Q40
Q33,Q41
Q148,N_REGION_ISO
Q148,Q142
Q148,Q143
Q148,Q146
Q148,Q147
Q148,Q165
Q148,Q169
Q148,Q218
Q148,Q223
Q148,Q224
Q148,Q231
Q148,Q237
Q148,Q266
Q148,Q267
Q148,Q268
Q148,Q27
Q148,Q272
Q148,Q290
Q148,Q38
Q148,Q45
Q148,Q5
Q148,Q57
Q17,N_REGION_ISO
Q17,Q10
Q17,Q11
Q17,Q14
Q17,Q15
Q17,Q165
Q17,Q218
Q17,Q223
Q17,Q254
Q17,Q266
Q17,Q267
Q17,Q268
Q17,Q27
Q17,Q272
Q17,Q28
Q17,Q289CS9
Q17,Q290
Q17,Q45
Q17,Q51
Q17,Q57
Q17,Q69
Q17,Q8
Q17,Q9
Q186,N_REGION_ISO
Q186,Q164
Q186,Q167
Q186,Q169
Q186,Q170
Q186,Q182
Q186,Q183
Q186,Q184
Q186,Q185
Q186,Q187
Q186,Q188
Q186,Q192
Q186,Q193
Q186,Q223
Q186,Q239
Q186,Q25
Q186,Q266
Q186,Q267
Q186,Q268
Q186,Q272
Q186,Q289CS9
Q186,Q290
Q186,Q6
Q242,N_REGION_ISO
Q242,Q15
Q242,Q168
Q242,Q169
Q242,Q223
Q242,Q237
Q242,Q239
Q242,Q241
Q242,Q243
Q242,Q244
Q242,Q245
Q242,Q246
Q242,Q247
Q242,Q248
Q242,Q249
Q242,Q266
Q242,Q267
Q242,Q272
Q242,Q290
Q242,Q6
Q242,Q64
